width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,keypoint_12_x,keypoint_12_y,keypoint_13_x,keypoint_13_y,keypoint_14_x,keypoint_14_y,keypoint_15_x,keypoint_15_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,quality
123,99,11.793373,98.45192,78.51884,98.73638,114.62862,99.233185,150.97522,98.13907,80.75867,133.87312,108.11329,117.830536,100.47768,156.77011,85.147545,175.39534,49.97999,150.53436,40.441597,105.09896,115.87786,52.0756,80.723465,36.800484,57.846146,9.3409815,57.95296,159.81255,20.928534,152.37408,11.856346,114.055336,1.3785781860351562,2.23983,0.15676435436486857,9.538391,28.648224,28.774162,68.29848,9.072187,37.02443,0.6
151,101,90.305466,93.88665,161.52254,94.23772,179.76138,87.763054,211.21457,90.86437,163.33151,143.36249,180.72961,130.01776,185.67838,163.02565,165.87413,181.32541,139.9836,147.82051,138.70537,99.883255,166.70494,37.553043,121.91565,65.51036,106.91982,40.411346,139.2219,140.01642,125.81053,130.41145,113.6426,115.22827,9.496940612792969,1.8089752,0.29200223451280016,1.2782288,48.399902,43.479233,34.372894,12.167931,13.411362,0.6
159,99,54.483906,57.904797,107.87512,65.75053,129.09805,67.6079,154.99464,72.98722,105.13381,96.97982,124.57985,89.79609,119.61575,116.67872,94.30845,142.26959,71.62517,122.63323,66.017555,85.70501,115.937485,12.365095,93.930885,10.775866,87.36535,6.0362353,69.01709,113.38162,52.563362,97.86069,44.909607,78.27965,16.939800262451172,2.7413101,0.3267690732749331,5.6076126,11.533649,11.274811,74.929146,7.653755,16.453728,0.6
92,63,97.5473,115.03812,129.88617,116.4736,140.2807,109.31154,138.11151,109.50353,127.49337,155.42316,146.83469,142.32715,136.45694,157.90381,118.45254,170.42233,101.429344,158.32236,100.03803,138.49596,129.19458,83.37539,5.0593066,8.0281925,104.089294,61.326706,116.71614,170.39862,95.52804,180.49562,88.95859,176.63193,12.696647644042969,2.3927994,1.2282049697648172,1.3913116,2.4907303,16.9272,130.46776,6.5694504,21.188103,0.6
123,93,134.96742,75.933334,159.16943,81.7494,143.37491,70.987,174.3934,68.906944,150.40091,137.53009,170.90298,134.74313,173.78294,152.86397,154.47217,159.7209,141.4415,126.82362,139.32639,87.41882,170.06503,45.452663,144.60121,42.42679,147.00555,18.447966,140.0197,128.94171,145.94489,135.35925,127.91588,120.31557,17.788787841796875,8.768524,1.5027793374747076,2.1151123,4.358963,50.111267,44.992035,18.029007,-5.925186,0.6
92,50,8.5544405,35.379498,24.434784,28.183832,36.210205,28.478102,47.09825,33.453274,33.121117,85.780495,40.42115,66.925705,41.0141,87.549194,33.282455,111.56556,14.371924,84.04933,11.747866,45.831642,5.0187755,3.0944078,34.31534,6.1967883,8.028606,4.3078985,18.128222,99.87686,10.701016,84.97746,6.8481493,69.49754,12.17083740234375,8.686333,1.2589374386414147,2.6240587,3.1934252,39.948853,39.634853,3.8528671,7.427205,0.6
228,132,86.08913,54.54764,136.5636,50.18486,155.65405,40.081863,174.47937,37.305946,138.72217,87.86442,148.10701,74.82699,160.83688,118.82348,138.97833,145.90121,105.41349,114.14485,86.38619,55.542084,41.102757,8.048765,83.7645,18.981087,71.61406,7.6157837,118.94061,128.13963,95.81862,103.133286,80.178566,74.47296,27.34469223022461,2.1585693,0.3497061980992865,19.027298,0.29706573,32.322334,36.560997,15.640053,23.121994,0.6
129,72,92.28759,58.983326,141.34871,59.07124,162.05252,49.680397,182.39825,55.936314,148.80916,124.12929,173.43175,109.05957,171.78833,147.54831,147.18188,174.14552,119.798325,133.60307,113.5889,88.12966,149.27536,16.448381,120.60419,18.65828,107.32429,4.9576225,119.49548,142.20015,106.79319,126.51213,102.59235,98.201904,12.474849700927734,7.460449,0.3085706049773158,6.209427,21.301308,35.999626,69.47138,4.200844,12.702293,0.6
80,77,110.74742,78.62063,157.69434,74.31345,156.79852,70.94686,182.41475,76.73204,149.51215,147.37378,180.9816,111.023994,180.97162,150.25465,144.88734,175.20366,110.87963,156.59282,105.55078,122.627716,125.92825,54.27578,80.35789,41.292816,42.034214,6.572742,127.32071,170.95981,98.73033,177.44041,80.26812,146.52997,10.092353820800781,8.18219,1.6059218482128057,5.32885,-5.19664,24.746063,81.3349,18.462212,28.590378,0.6
65,54,3.867791,4.3017755,4.9394007,3.1166744,3.7720313,3.7415447,3.579585,4.206336,91.60925,148.15884,135.94444,131.34587,124.88701,170.85757,96.67389,201.10233,67.57764,170.70485,67.6744,121.649925,124.785126,41.692566,62.424625,51.36557,54.4215,26.040482,7.957283,5.2778783,26.329315,163.76486,20.996895,125.96641,0.6833481788635254,86.66985,2.176903863002837,-0.09676361,63.80661,26.508919,70.284355,5.3324203,-18.372032,0.6
78,59,52.648533,98.87275,128.96716,90.93706,151.54678,93.30176,176.07634,96.09028,124.24651,152.59402,145.49796,147.60594,128.13611,168.08965,108.82838,176.95851,85.56898,156.03152,77.63711,123.87224,124.715164,48.054714,59.291985,44.099762,76.80335,15.53347,92.586876,172.82912,60.67295,160.78757,49.42921,125.41133,10.724212646484375,4.7206497,1.1446683088710157,7.9318695,24.988575,28.721786,79.77248,11.24374,31.913925,0.6
57,42,69.359406,87.97921,136.89049,99.922905,166.37723,97.895,184.57825,98.62383,127.85464,172.39752,158.08374,137.64433,155.53311,193.02263,126.63774,214.32025,76.535065,174.35072,64.69063,114.359344,141.92558,47.581364,97.38391,60.247208,103.360794,12.806551,80.02195,185.58394,56.401165,160.49287,42.18418,132.81882,16.252044677734375,9.035851,0.7414174468372177,11.844437,-4.6687775,58.038177,54.112137,14.216984,23.620785,0.6
135,114,105.79255,95.81466,156.03033,97.68544,176.24193,96.76251,212.66786,93.60801,150.61305,169.87065,182.45453,127.42223,176.74722,172.75894,153.34167,200.39514,118.14316,172.51688,110.96037,126.131775,144.29878,44.20614,104.60305,57.74564,84.69253,20.997192,119.706505,176.545,99.85316,158.98009,96.05464,135.90393,5.0252838134765625,5.417282,1.3620608384302981,7.182785,5.167824,43.738876,68.38614,3.7985153,19.853348,0.6
87,63,72.11699,81.77502,134.1196,86.887924,146.86751,83.78597,175.75179,82.596924,126.81107,144.9948,156.60089,130.23708,149.46214,171.68625,117.428856,199.87256,83.76777,164.70421,76.80803,111.14264,121.81395,34.51289,73.87623,40.49699,60.18794,11.4694605,79.19079,168.63504,54.685055,146.38826,43.71174,107.59759,6.3019561767578125,7.308525,0.051921683051894485,6.9597397,4.69104,33.852158,70.645645,10.973316,24.505733,0.6
45,37,93.35648,135.1333,155.30507,116.454094,154.63527,117.893845,195.49995,105.50525,155.30107,170.03781,185.08542,153.18738,188.59239,178.05963,154.23196,196.1143,122.653305,184.06242,109.37492,151.54712,149.60635,91.59256,108.492546,93.96292,79.975555,53.10657,131.57878,189.96022,98.84236,188.08217,75.044334,169.14401,32.77336883544922,0.0039978027,1.0531419216280224,13.278381,16.01844,18.490692,57.584198,23.798027,32.73642,0.6
44,35,43.77047,134.1827,111.478745,129.30643,148.38359,121.27096,146.74516,120.53337,116.36229,166.25723,148.19798,153.55508,141.6572,185.84198,110.14722,200.25107,86.72802,192.04424,69.56534,170.98921,139.25294,85.094864,101.34685,76.5543,111.58257,33.16912,93.51988,203.8745,61.06053,203.92061,43.532585,182.85532,21.684791564941406,4.883545,0.07855955543251203,17.162682,25.794868,-4.7319794,94.43491,17.527946,32.45935,0.6
65,53,57.483543,88.71736,113.54698,92.13159,121.79629,89.39572,143.56416,92.08638,125.32454,144.31306,153.59465,130.7535,164.2517,179.18716,144.34589,206.12589,112.444336,187.40869,102.317696,152.27588,73.6806,50.10202,48.65822,36.264843,64.888245,22.182276,113.68269,192.54236,89.78414,174.38211,70.71374,142.87344,6.104888916015625,11.777557,0.17285681959543975,10.12664,44.834152,-7.9628143,116.01103,19.070404,23.898552,0.6
90,70,78.08705,106.70792,131.82048,96.0316,128.09299,95.46624,173.26831,90.37204,132.98038,148.92032,155.57738,126.666534,151.27222,161.81664,125.94583,184.9755,102.82168,165.1781,90.45717,135.50761,140.42029,40.022522,101.99256,38.998947,88.54257,13.3297,108.735405,176.85722,82.65519,164.28152,72.19803,149.62935,19.126930236816406,1.1598969,0.4400824500288949,12.36451,12.370117,13.412704,96.50867,10.457161,26.080215,0.6
126,106,76.759,94.89007,123.3181,91.42949,131.09796,82.84032,165.50679,84.60452,119.888016,116.223045,139.22665,118.3859,124.02007,140.60674,103.417114,153.82059,88.568985,130.8206,92.602684,108.32459,115.53147,57.340652,67.74033,67.08634,52.568428,49.84516,87.885025,137.32843,70.17497,139.77829,64.68909,118.14444,18.874717712402344,3.4300842,0.3902202433967379,-4.033699,15.843681,7.8984528,41.23825,5.4858856,17.710052,0.6
76,60,64.436714,89.786194,138.7219,87.60158,137.12819,83.26955,179.62363,85.9747,135.86487,139.47276,167.739,127.05232,156.44185,163.46216,132.99487,180.26369,100.99246,152.27257,88.822136,98.966965,111.05894,39.096584,41.89768,38.534782,39.69675,35.747654,96.04429,139.12473,71.19294,142.18115,60.497013,103.47845,8.143524169921875,2.8570251,0.27042225825774957,12.170326,24.385422,40.5058,60.432182,10.695927,24.851349,0.6
108,77,91.34456,73.37111,130.32195,74.22739,152.31436,71.83674,181.16435,74.745865,131.50972,142.73904,162.24721,125.21655,166.20761,164.83575,139.13092,190.79771,107.74095,166.04509,97.81573,116.38862,143.47768,24.99585,99.36421,29.118734,82.25675,7.9437966,103.16373,157.83823,91.326866,133.15945,80.94306,113.97286,3.7654037475585938,1.1877747,0.4082011756765851,9.925224,6.4711685,26.350426,87.26988,10.383804,11.836861,0.6
104,84,84.54707,103.38129,132.1496,109.09892,143.98183,101.49608,176.39561,94.65653,142.0766,152.9869,160.33731,135.28592,176.10931,170.82228,147.98872,199.54468,103.70503,179.15347,94.81983,132.16559,135.3356,39.19337,103.16487,38.39071,90.04802,20.607754,105.82851,184.93428,81.54258,166.14754,70.0396,132.63603,16.327598571777344,9.927002,0.041230163553847565,8.8852005,10.2727585,20.821304,93.77488,11.502983,24.285927,0.6
99,68,87.45505,80.45468,115.53418,77.97229,114.28805,75.26583,142.3986,74.82951,126.39175,115.28923,141.52333,104.59052,137.77655,128.87265,124.54006,138.40361,103.04527,129.56358,101.058624,101.30025,97.13879,40.024258,60.112137,35.94441,42.773087,14.218563,107.091576,132.04025,86.30669,134.09563,80.91857,114.2732,8.331626892089844,10.857567,0.6760250477768259,1.9866486,13.603577,13.988983,65.355835,5.388115,20.78489,0.6
228,124,35.202675,65.65558,118.61388,64.295296,137.64307,57.42305,157.30678,53.83355,115.43776,114.45514,130.00258,107.221695,137.37141,143.7662,122.36539,164.12581,89.69318,131.4892,82.94948,80.581535,110.95734,24.749975,81.305435,28.293678,74.52484,6.8931117,93.60425,140.67894,67.7444,135.43336,52.815052,104.872345,18.69427490234375,3.176117,0.002170496925987253,6.743698,47.746803,33.873604,52.287857,14.929348,25.859848,0.6
114,57,49.785046,66.18445,101.16082,63.395496,101.03945,64.56668,105.87193,62.959927,90.80166,133.28526,112.33617,134.16231,97.446526,161.01895,76.68373,197.076,54.95433,158.86943,52.81686,99.506836,82.908806,11.407092,37.054657,9.261721,25.783482,5.227819,57.649925,167.9188,35.458233,136.33104,30.672087,98.812164,4.3957061767578125,10.359161,0.08141195826670566,2.1374702,3.0318146,33.778427,90.24512,4.786146,22.191692,0.6
102,63,4.90997,146.77174,5.067852,3.516693,130.73183,144.81006,190.56354,118.81219,111.4748,216.50957,159.77237,180.20096,8.052735,5.7156,7.142451,2.580624,6.1922193,4.913655,45.64058,169.5904,105.3272,75.84738,45.209297,110.23813,5.6212883,59.45934,4.497768,3.3039095,4.5764813,2.035562,16.740164,189.82422,35.97162119547525,106.40695,0.0003315637351757328,-39.44836,40.73061,46.919174,59.352264,-12.163683,-0.07871342,0.6
123,75,10.45373,69.31964,90.001884,80.73749,105.53135,73.13736,209.68571,75.198906,97.17597,145.65103,125.50776,119.07121,102.906784,172.54872,77.0729,210.08997,51.148907,166.34027,52.702602,107.028625,77.546555,16.886618,46.754658,25.616472,26.045437,5.5625234,51.586533,201.03177,31.187593,155.30359,25.523285,118.45352,13.479393005371094,7.1740875,0.03249022267697388,-1.5536957,42.24887,38.622406,81.412155,5.6643085,20.39894,0.6
80,36,48.361683,88.37658,123.46454,84.30818,133.02795,73.2775,195.88397,71.55769,122.314964,147.85834,151.19693,124.08857,136.12378,173.8868,118.733986,199.91478,92.95586,177.07478,92.61418,123.841156,132.46773,17.461208,70.51397,37.524654,62.92006,7.879623,90.023094,157.41492,81.8415,143.86649,77.0798,126.84497,27.849571228027344,1.1495743,0.2181142912733851,0.3416748,44.2525,24.017181,86.3165,4.761696,8.181595,0.6
81,60,76.75281,94.25659,133.83575,95.46655,142.42116,90.089516,189.55489,92.61603,140.6372,155.62914,160.93903,136.9321,176.83594,172.44073,153.93123,193.58562,116.1779,169.3523,102.34965,121.20539,141.89937,43.153885,92.6709,40.061443,65.75403,12.970618,114.53647,169.8456,88.87657,162.68073,71.31486,132.96507,7.017601013183594,6.8014526,0.5054696479645642,13.828255,25.59684,34.423744,81.14395,17.561714,25.659897,0.6
