width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,quality
141,135,120.97452,112.13136,141.54681,82.864235,165.96721,125.70059,159.14789,164.04198,143.98944,145.74792,97.76339,159.40726,54.654137,116.48694,206.87924,103.35777,184.96793,65.11704,163.87643,31.483294,208.55124,13.447262,20.572296,13.569229,6.8193207,18.294052,13.659332,-39.91211954752603,22.34282,-22.32962,0.6
81,156,43.06551,73.99308,94.46892,58.024933,109.847694,86.76221,111.94727,128.91792,68.633255,99.27294,28.705063,110.94203,13.64359,103.63421,151.61787,62.36732,141.66846,45.834137,105.81469,36.718155,132.62573,14.629605,51.403408,12.769127,2.0995789,29.644981,11.66909,-9.410082499186203,24.394886,-11.345772,0.6
94,68,98.81434,96.04033,115.202835,47.52986,123.90792,141.0318,123.36238,183.2512,105.02941,163.36467,72.74403,160.89113,49.163475,119.774185,175.80402,65.3167,138.56238,9.26703,0.7470428,0.22491844,7.972327,0.015302977,16.388496,44.99147,0.54553986,19.886536,-2.4735413,-49.39482116699219,75.7151,114.455795,0.6
154,130,119.4087,80.61537,140.69327,64.55805,154.2862,126.4364,132.09366,194.32607,107.546455,126.594376,60.416363,142.21382,53.223812,92.84544,201.49141,60.42304,169.18724,16.410772,1.3362278,0.7464998,133.45697,1.4905822,21.284569,45.82103,22.192535,67.73169,15.619446,-61.53264872233072,66.01337,139.35704,0.6
106,73,103.524925,74.5373,115.47223,54.39386,117.17638,106.4014,112.065445,171.89706,102.81311,123.36711,69.997086,142.0715,57.386986,118.99895,138.14697,50.524994,122.119896,14.284404,2.614183,1.4380481,93.80586,3.0491145,11.947304,31.864098,5.1109314,48.529953,18.704391,-26.77960713704428,55.876404,112.85805,0.6
63,43,96.15461,76.46229,104.22334,46.413544,116.22014,103.789345,123.063354,168.20059,102.869545,148.3605,77.99428,173.75426,46.793404,94.01734,142.0946,55.838673,123.42445,30.456354,1.329749,0.8709659,87.74448,4.9103007,8.068733,27.327057,6.843216,19.840088,25.393753,-69.42111460367838,47.950672,102.89359,0.6
56,40,99.550186,86.42691,112.44713,84.379425,102.25031,132.98244,94.99295,153.04262,70.68159,134.97997,49.41725,135.26785,38.398285,110.30132,143.21815,94.58245,132.97307,58.160316,105.916046,31.781181,118.50601,8.356227,12.896942,46.555527,7.2573624,18.062653,0.28788757,-30.795488993326813,38.399986,6.531082,0.6
107,74,94.40191,84.39316,105.60298,67.64494,125.52841,119.86078,128.4301,159.1851,108.35789,147.53731,72.273026,158.44276,50.476173,100.72059,174.72786,52.92066,158.23865,20.73116,0.73866016,0.25905183,140.1322,0.9627242,11.201073,35.46762,2.9016876,11.647797,10.905457,-54.33446502685547,66.940125,104.86432,0.6
113,75,133.57773,111.50461,147.5918,96.85061,148.49776,137.99057,157.15579,210.02568,7.4951906,0.757458,12.613335,5.2017736,70.5303,117.240814,170.32437,106.47691,169.96176,68.11534,169.67749,35.146454,178.80942,13.390952,14.014069,26.485962,8.658035,209.26822,4.444316,45.245844523111984,31.513657,-22.085693,0.6
88,97,66.79063,111.006,82.216324,98.44351,110.15009,134.80318,112.78946,178.96234,10.985615,3.143104,29.081924,175.46585,18.645224,132.56165,168.81055,88.40622,146.81636,64.20394,1.265376,0.3096587,119.53279,20.381594,15.425697,23.79718,2.6393661,175.81924,172.32275,13.3712158203125,46.396957,80.95095,0.6
